===== Final Summary =====,,,,,
Algorithm,Parameters,Pass_line,Result,Generation,time(ms)
GA,MR=0.05,1.00E-10,9.95E-01,100,48.625
DE,"MF=0.3, CR=0.5",1.00E-10,7.76E-11,68,104.435
PSO,"IW=0.7, PC=1.0",1.00E-10,7.02E-04,100,45.298
===== Convergence History =====,,,,,
Generation,GA_Cost,DE_Cost,PSO_Cost,,
1,14.40399324,7.362215845,10.3787413,,
2,14.40399324,7.362215845,5.000089833,,
3,8.566821693,7.362215845,5.000089833,,
4,5.88537259,7.203795779,5.000089833,,
5,5.88537259,7.203795779,1.26666726,,
6,5.88537259,4.961608121,1.26666726,,
7,2.426679229,4.51614546,1.26666726,,
8,2.426679229,4.51614546,1.26666726,,
9,0.995561598,4.51614546,1.26666726,,
10,0.995561598,0.071092752,1.131534898,,
11,0.995561598,0.038895499,1.131534898,,
12,0.995561598,0.038895499,1.131534898,,
13,0.995561598,0.038895499,1.131534898,,
14,0.995561598,0.038895499,1.131534898,,
15,0.995561598,0.038895499,1.131534898,,
16,0.995561598,0.038895499,1.131534898,,
17,0.995378408,0.038895499,1.131534898,,
18,0.995028187,0.038895499,1.131534898,,
19,0.995028187,0.038895499,1.131534898,,
20,0.994996803,0.038895499,1.131534898,,
21,0.994996803,0.038895499,1.100875312,,
22,0.994976339,0.038895499,1.067743332,,
23,0.994961041,0.038895499,1.067743332,,
24,0.994961041,0.038895499,1.067743332,,
25,0.994961041,0.038895499,1.002242386,,
26,0.994961041,0.038895499,1.002242386,,
27,0.994961041,0.038895499,1.002242386,,
28,0.994961041,0.038895499,1.002242386,,
29,0.994961041,0.038327662,1.002242386,,
30,0.994961041,0.038327662,1.002242386,,
31,0.994961041,0.038327662,1.002242386,,
32,0.994961041,0.038327662,0.995204026,,
33,0.994961041,0.038327662,0.995204026,,
34,0.994961041,0.038327662,0.995204026,,
35,0.994961041,0.038015388,0.995204026,,
36,0.994961041,0.038015388,0.995204026,,
37,0.994961041,0.009675124,0.995204026,,
38,0.994961041,0.009675124,0.995204026,,
39,0.994961041,0.001207762,0.995204026,,
40,0.994961041,0.001207762,0.995204026,,
41,0.994961041,5.30E-05,0.995204026,,
42,0.994961041,5.30E-05,0.995204026,,
43,0.994961041,5.30E-05,0.994994707,,
44,0.994961041,5.30E-05,0.994994707,,
45,0.994961041,5.30E-05,0.994994707,,
46,0.994961041,5.30E-05,0.994994707,,
47,0.994961041,5.30E-05,0.994994707,,
48,0.994961041,2.19E-05,0.994988231,,
49,0.994961041,2.19E-05,0.994988231,,
50,0.994961041,1.28E-05,0.994988231,,
51,0.994961041,1.71E-06,0.994988231,,
52,0.994961041,1.71E-06,0.994988231,,
53,0.994961041,1.71E-06,0.994988231,,
54,0.994961041,1.71E-06,0.994988231,,
55,0.994961041,1.71E-06,0.994988231,,
56,0.994961041,2.00E-07,0.994988231,,
57,0.994961041,1.46E-08,0.994988231,,
58,0.994961041,1.43E-08,0.994988231,,
59,0.994961041,1.43E-08,0.994988231,,
60,0.994961041,1.43E-08,0.994988231,,
61,0.994961041,1.29E-08,0.994988231,,
62,0.994961041,1.29E-08,0.994988231,,
63,0.994961041,1.29E-08,0.994988231,,
64,0.994961041,4.60E-09,0.306302262,,
65,0.994961041,4.05E-09,0.306302262,,
66,0.994961041,2.96E-10,0.14604998,,
67,0.994961041,2.96E-10,0.14604998,,
68,0.994961041,7.76E-11,0.093603459,,
69,0.994961041,,0.093603459,,
70,0.994961041,,0.093603459,,
71,0.994961041,,0.093603459,,
72,0.994961041,,0.050353955,,
73,0.994961041,,0.050353955,,
74,0.994961041,,0.050353955,,
75,0.994961041,,0.050353955,,
76,0.994961041,,0.022294438,,
77,0.994961041,,0.022294438,,
78,0.994961041,,0.022294438,,
79,0.994961041,,0.014493058,,
80,0.994961041,,0.006476449,,
81,0.994961041,,0.006476449,,
82,0.994961041,,0.006476449,,
83,0.994961041,,0.006476449,,
84,0.994961041,,0.006476449,,
85,0.994961041,,0.006476449,,
86,0.994961041,,0.006476449,,
87,0.994961041,,0.006476449,,
88,0.994961041,,0.006476449,,
89,0.994961041,,0.006476449,,
90,0.994961041,,0.006476449,,
91,0.994961041,,0.006476449,,
92,0.994961041,,0.006476449,,
93,0.994961041,,0.001973113,,
94,0.994961041,,0.001973113,,
95,0.994961041,,0.001973113,,
96,0.994961041,,0.000701591,,
97,0.994961041,,0.000701591,,
98,0.994961041,,0.000701591,,
99,0.994961041,,0.000701591,,
100,0.994961041,,0.000701591,,
